"price","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","car_id"
NA,3,2.75,1471,466609,1,0,2,4,7,981,238,7.77865685059476,0.893147180559945,11.4955351257661,0.00689999999999458,0.176000000000002,1463,65495,2,17826
NA,1,1,568,5697,1,0,0,4,6,667,0,7.75851674304564,0.893147180559945,11.496511489702,0.362099999999998,-0.0829999999999984,1354,3634,2,15868
NA,4,2.25,3303,7084,2,0,0,4,8,2957,0,7.78781721999343,0.893147180559945,11.4955453011387,0.116999999999997,-0.185000000000002,1975,7912,9,6769
NA,2,1,735,4850,1,0,0,4,6,780,0,7.77814547241947,0.893147180559945,11.495881030361,0.317499999999995,-0.00499999999999545,2159,4573,8,4008
NA,6,NA,2484,9418,2,0,0,3,7,2411,0,7.79689443814454,0.893147180559945,11.4953315965692,0.126199999999997,-0.0139999999999958,2070,7572,4,2498
NA,2,2,1153,515,2,0,0,3,9,584,377,7.80539236481494,0.893147180559945,11.4963894963301,0.321199999999997,-0.156999999999996,869,1000,12,20605
NA,NA,2.5,2484,4929,2,0,0,3,9,2295,0,7.80140233458373,0.893147180559945,11.4960641078948,0.414499999999997,0.173000000000002,2206,5480,7,41
NA,3,2.5,2277,5352,2,0,0,3,9,2148,0,7.80090245954208,0.893147180559945,11.4956267003919,0.2044,-0.00799999999999557,2486,5673,4,5160
NA,3,1.75,1563,6649,1.5,0,0,4,6,1598,0,7.77301725605255,0.893147180559945,11.4956368748327,0.177399999999999,-0.0360000000000014,794,6505,10,5277
NA,4,2,1869,7115,1.5,0,0,4,7,1687,707,7.75851674304564,0.893147180559945,11.4964911585068,0.372299999999996,-0.182000000000002,2261,4209,4,12280
NA,3,NA,1827,4340,2,0,0,3,8,2149,0,7.8004023345004,0.893147180559945,11.4956572234037,0.531699999999994,0.00300000000000011,2149,5252,12,2320
NA,5,1.75,2597,10833,1,0,NA,4,7,2343,576,7.77814547241947,0.893147180559945,11.4971110740759,0.564,-0.159999999999997,2120,8917,7,9701
NA,4,2.75,2944,4353,2,0,0,3,9,2896,0,7.80787807327851,0.893147180559945,11.495911545611,0.281199999999998,0.0769999999999982,2896,5537,6,16286
NA,4,1.75,1629,6576,1,0,0,4,8,1621,0,7.7847730776122,0.893147180559945,11.4955453011387,0.110899999999994,-0.176999999999992,1621,6981,6,18029
NA,3,1.75,1851,4764,1,0,3,3,8,1064,653,7.77865685059476,0.893147180559945,11.4966944518598,0.322599999999994,-0.182000000000002,1747,5366,10,4978
NA,3,1.5,1550,10718,1,0,0,3,7,1893,0,7.78069975222456,0.893147180559945,11.4970196352865,0.269599999999997,-0.097999999999999,1443,7100,12,4404
NA,3,1.75,1420,14621,1,0,0,3,7,1121,476,7.79135704669855,0.893147180559945,11.4954537190582,0.4923,0.280000000000001,1852,12710,7,13915
NA,4,2.5,2649,8621,2,0,0,4,8,2497,0,7.79839932932396,0.893147180559945,NA,0.4861,0.00200000000000955,1961,7903,6,5730
NA,4,2.5,2299,9809,2,0,0,3,9,2600,0,7.79789795052178,0.893147180559945,11.4954231898341,0.541999999999994,-0.00799999999999557,2729,7816,3,12499
NA,2,1,557,1072,2,0,0,4,7,649,0,7.77250298502038,0.893147180559945,11.4963488285654,0.441199999999995,-0.128999999999991,1252,920,5,11890
NA,4,2.5,3561,10054,1,0,0,5,8,1953,1094,7.7740450053722,0.893147180559945,11.4965826456301,0.503999999999998,-0.0999999999999943,972,9489,5,7831
NA,5,2.5,NA,16391,1,0,0,4,8,2283,1155,7.78528107863913,0.893147180559945,11.49699931442,0.2468,-0.140999999999991,2482,29313,6,3364
NA,4,2.25,1944,3260,2,0,0,3,7,1518,0,7.80738142563979,0.893147180559945,11.4962471519174,0.119999999999997,0.0220000000000056,1518,4173,4,15399
NA,6,2,1497,2555,1,0,0,5,7,767,690,7.75590509361135,0.893147180559945,11.496379329544,0.463699999999996,-0.116,1133,985,6,12375
NA,3,1.5,1846,7063,1,0,0,4,7,1616,0,7.77967882309046,0.893147180559945,11.4953926596779,0.401699999999998,0.078000000000003,1157,7564,5,9126
NA,3,1,1274,6735,1,0,0,3,7,1021,0,7.77916796739608,0.893147180559945,11.4965826456301,0.5105,-0.0889999999999986,1119,6889,9,17592
NA,4,2.75,2618,5190,1,0,1,5,7,1179,1190,7.7740450053722,0.893147180559945,11.4964809927542,0.472299999999997,-0.0630000000000024,1731,4897,12,5620
NA,2,1,772,5409,1,0,2,3,7,678,0,7.77095858316901,0.893147180559945,11.4964809927542,0.491,-0.108999999999995,780,5732,5,17884
NA,3,2,1273,4692,1,0,0,3,8,1528,0,7.80489448081162,0.893147180559945,11.4958505141798,0.518799999999999,0.176000000000002,1528,3676,5,19628
NA,3,2.25,1544,5927,1,0,0,4,7,935,396,7.79588991771854,0.893147180559945,11.4956979193036,0.157599999999995,0.161000000000001,1196,7125,5,15345
NA,2,2,1689,5982,1,0,0,4,7,978,832,7.77147364885127,0.893147180559945,11.4964809927542,0.479199999999999,-0.102999999999994,1423,4370,4,17634
NA,3,1,1408,6034,1,0,0,4,6,983,0,7.75538194424027,0.893147180559945,11.4966639604914,0.512499999999996,-0.129999999999995,1024,8640,4,9424
NA,3,1.5,1069,7045,1,0,0,3,7,995,0,7.78120982619635,0.893147180559945,11.4968875422725,0.565199999999997,-0.0739999999999981,1442,7924,3,5741
NA,4,2.25,2320,28995,1,0,0,3,8,1472,764,7.78984151218266,0.893147180559945,11.4955860015935,0.268799999999999,0.191000000000003,2079,31261,7,4506
NA,3,1.5,1624,14292,1,0,0,4,8,2080,0,7.77916796739608,0.893147180559945,11.4953417740129,0.134999999999998,-0.120999999999995,2875,11551,10,5020
NA,3,2.5,1373,3916,2,0,0,3,7,1615,0,7.80539236481494,0.893147180559945,11.4958505141798,0.496399999999994,0.176000000000002,1643,3329,10,11412
NA,3,1.5,1023,7093,1,0,0,4,7,889,0,7.77712193087668,0.893147180559945,11.496816408037,0.228199999999994,-0.131,1259,9398,9,18682
NA,2,1,873,6281,1,0,0,3,6,673,0,7.76682847920833,0.893147180559945,11.4955554764077,0.365499999999997,0.310000000000002,987,10216,4,6400
NA,3,2.5,1361,8562,2,0,0,4,7,1400,0,7.79588991771854,0.893147180559945,11.4954130132189,0.110999999999997,0.197000000000003,1309,6199,2,16316
NA,3,3.5,3557,3800,2,0,0,3,9,2441,938,7.80589000105312,0.893147180559945,NA,0.438499999999998,-0.0810000000000031,1786,4077,12,11879
NA,4,2.25,2168,7359,1,0,0,4,8,1619,742,7.78984151218266,0.893147180559945,11.4954231898341,0.5351,0.00100000000000477,1748,6725,4,8720
NA,4,2.5,2530,5841,2,0,0,3,9,2264,0,7.80589000105312,0.893147180559945,11.4956979193036,0.168599999999998,0.141999999999996,2449,6525,12,5829
NA,4,1.75,1898,7030,1,0,0,4,7,1022,949,7.75851674304564,7.78680353516258,11.4966639604914,0.563499999999998,-0.134999999999991,1447,6561,3,15110
NA,3,2,1334,6102,1,0,0,4,7,641,702,7.75013534248843,0.893147180559945,11.4964098295923,0.325499999999998,-0.126999999999995,1159,6020,5,17183
NA,4,3,4034,18769,2,0,2,3,9,2620,1309,7.79135704669855,0.893147180559945,11.4957182666325,0.3581,-0.012999999999991,3051,18355,6,12316
NA,NA,2.25,2637,7937,1,0,0,4,8,1038,1271,7.78171964012531,0.893147180559945,11.4953519513531,0.405099999999997,0.00500000000000966,1899,10445,3,767
NA,3,1.5,NA,3473,1.5,0,0,3,8,1137,610,7.75799495853081,0.893147180559945,11.4964504948763,0.420499999999997,-0.090999999999994,1684,3870,10,3074
NA,2,1.5,1003,1204,2,0,0,3,7,781,143,7.80190195987517,0.893147180559945,11.4966639604914,0.5075,-0.135999999999996,1022,1257,11,17558
NA,NA,2.5,982,837,3,0,0,3,7,1079,36,7.80290046220476,0.893147180559945,11.4964809927542,0.477399999999996,-0.123999999999995,1125,834,5,986
NA,4,2.5,3050,4886,2,0,0,3,10,2542,0,7.8004023345004,0.893147180559945,NA,0.401599999999995,0.126000000000005,2405,7272,3,12633
NA,3,2.5,1409,6365,2,0,0,3,7,1442,0,7.79789795052178,0.893147180559945,11.4956979193036,0.190199999999997,0.150999999999996,1442,5629,4,14709
NA,6,3.5,1861,5072,2,0,0,5,7,1841,0,7.79085212368858,0.893147180559945,11.495870858404,0.278799999999997,-0.027000000000001,1616,7021,9,11366
NA,NA,2.5,1712,2820,NA,0,0,3,7,1395,0,7.80439634879634,0.893147180559945,11.4956979193036,0.166499999999999,0.183000000000007,1583,3656,9,594
NA,4,3.25,2343,5046,2,0,0,3,9,3025,115,7.80837447438078,0.893147180559945,NA,0.496599999999994,0.0670000000000073,3502,4174,5,20502
NA,3,2.5,1514,2213,2,0,0,3,7,1474,0,7.80389796852188,0.893147180559945,11.4956063511998,0.353999999999999,0.201999999999998,1474,2320,2,20654
NA,3,2,1187,6097,1,0,0,4,7,1204,0,7.79488438721652,0.893147180559945,11.4956165258476,0.150399999999998,0.0229999999999961,1465,5719,4,4096
NA,3,2.5,1626,5539,1,0,0,3,8,1070,355,7.7963923040642,0.893147180559945,11.4955453011387,0.0899000000000001,-0.171999999999997,1560,6580,11,15403
NA,4,2,1682,4801,1,0,0,3,7,989,841,7.77558465155779,7.80837447438078,11.4965013241561,0.499199999999995,-0.179000000000002,1229,4082,5,9302
NA,3,1,1363,14136,1,0,0,4,6,1228,0,7.78120982619635,0.893147180559945,11.4953214190219,0.0897999999999968,-0.0510000000000019,1255,9807,5,19168
NA,4,2.75,2730,5355,2,0,0,3,8,2703,0,7.80837447438078,0.893147180559945,11.4957691331435,0.282699999999998,0.427000000000007,2539,5390,6,20788
NA,3,1,2305,9987,1,0,0,3,7,2263,0,7.78578882173203,0.893147180559945,11.4958403419124,0.490899999999996,0.117000000000004,2541,24802,1,13937
NA,3,2.5,2851,5030,2,0,0,3,7,2589,0,7.80290046220476,0.893147180559945,11.4962471519174,0.136099999999999,0.0250000000000057,2323,5164,8,4424
NA,4,2.75,NA,4416,1.5,0,0,5,8,1307,657,7.75433482372575,0.893147180559945,11.496511489702,0.350199999999994,-0.0679999999999978,971,3959,7,3125
NA,3,2.75,1640,6280,1,0,3,3,7,1938,0,7.80638738977265,0.893147180559945,11.4955351257661,-0.00580000000000069,0.222999999999999,2651,5026,1,19676
NA,2,1,878,9705,1,0,0,3,7,1065,0,7.77455848420248,0.893147180559945,11.4968875422725,0.553199999999997,-0.117999999999995,1493,7203,8,6517
NA,4,1.5,1375,67714,1,0,0,3,7,1406,0,7.78933582317062,0.893147180559945,11.4954130132189,0.145799999999994,0.25200000000001,1731,67659,5,16874
