"price","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","car_id"
5102.16,4,2.5,3651,93018,2,0,0,3,9,2756,0,7.79588991771854,0.893147180559945,11.4956979193036,0.193199999999997,0.212000000000003,2619,119049,10,19102
1446.39,3,1,763,10908,1,0,0,4,6,934,0,7.78171964012531,0.893147180559945,11.4953214190219,0.0882999999999967,-0.0720000000000027,1515,9027,2,11638
2527.99,3,2.5,1798,9113,1,0,0,3,7,1250,482,7.79085212368858,0.893147180559945,11.4953214190219,0.138500000000001,-0.0559999999999974,1594,7229,4,16356
23091.72,4,2.5,3727,31414,1,0,0,3,13,4016,0,7.79538727885397,0.893147180559945,NA,0.347699999999996,0.0739999999999981,4248,29152,4,13701
7334.73,3,2.5,1628,1333,2,0,0,3,9,1281,543,7.80638738977265,0.893147180559945,11.4965521508523,0.417899999999996,-0.100999999999999,1766,1335,1,19825
2485.89,2,1.5,1222,6339,1,0,0,4,8,1469,0,7.79287028784482,0.893147180559945,11.4973243987416,0.1785,-0.122,1479,4529,11,3809
4474.65,3,2.5,2101,5705,2,0,2,3,8,2057,0,7.80090245954208,0.893147180559945,11.4959725733176,0.333399999999997,0.332999999999998,1851,4142,5,6685
3963.16,3,2.5,1219,743,2,0,0,3,8,1040,240,7.80539236481494,0.893147180559945,11.4966944518598,0.3429,-0.186999999999998,1223,1186,7,20635
1849.05,3,1.75,1313,7046,1,0,0,3,7,1254,0,7.79789795052178,0.893147180559945,11.4954130132189,0.112299999999998,0.177000000000007,1365,7139,12,3996
4139.14,5,2.75,1847,11986,2,0,0,3,8,1890,0,7.79488438721652,0.893147180559945,11.4960641078948,0.428799999999995,0.168999999999997,1845,10521,5,6266
3108.91,3,2.25,1403,1553,2,0,0,3,8,1316,258,7.80638738977265,0.893147180559945,11.4965928103493,0.342999999999996,-0.174999999999997,1814,1351,5,20228
2299.5,2,1,682,3574,1,0,0,4,6,710,0,7.77147364885127,0.893147180559945,11.4965928103493,0.3337,-0.179000000000002,1226,3435,7,18579
3818.31,3,1.5,NA,5607,1,0,0,3,7,841,272,7.77507169950756,0.893147180559945,11.4963894963301,0.3292,-0.147999999999996,950,6536,4,3151
6213.75,4,1.75,1921,20871,1,0,0,5,8,1566,648,7.77916796739608,0.893147180559945,11.49699931442,0.228199999999994,-0.146999999999991,2166,15313,8,18825
7916.96,4,2.5,2254,6924,1,0,0,3,8,1327,1093,7.77712193087668,7.80837447438078,11.49564704917,0.483499999999999,0.0130000000000052,1875,7167,5,4622
2130.98,4,2.5,1530,5173,2,0,0,3,7,1564,0,7.80290046220476,0.893147180559945,11.4956979193036,0.148299999999999,0.147000000000006,1581,4910,6,15420
3894.88,2,1,644,4932,1,0,0,3,7,789,0,7.75328660560042,0.893147180559945,11.4963996630129,0.475099999999998,-0.171999999999997,1391,4025,6,9583
3463.14,3,1.5,NA,7692,1,0,0,4,6,1218,0,7.77712193087668,0.893147180559945,11.4965826456301,0.527299999999997,-0.108999999999995,1096,9196,6,3432
10476.95,5,2.75,3047,8562,1,0,0,4,8,1587,1399,7.77916796739608,0.893147180559945,NA,0.370899999999999,-0.0139999999999958,2808,8896,3,5241
10874.4,3,3.5,4161,10802,2,0,2,3,10,3129,1130,7.79538727885397,0.893147180559945,NA,0.573499999999996,-0.185999999999993,2272,10723,8,16101
1934.86,4,1.75,1271,43438,1.5,0,0,4,7,1126,0,7.76837926783652,0.893147180559945,11.4956267003919,0.215299999999999,0.0160000000000053,1536,7736,7,12536
3124.84,2,2.5,1819,4853,2,0,0,4,8,1243,0,7.78933582317062,0.893147180559945,11.4958403419124,0.465499999999999,0.0700000000000074,1243,7101,10,15691
