CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00998,United States (Metropolitan Portion),1.6,2.9,4.0,3.7,2.8,2.2,0.0,-2.9,2.8,1.5,2.3,2.0,2.6,3.2,2.0,2.7,3.1,2.7,-2.2,6.3,2.6,2.7
10180,"Abilene, TX (Metropolitan Statistical Area)",1.0,1.8,2.3,2.3,7.6,3.5,0.9,-2.3,3.8,0.8,3.0,1.5,1.8,-1.8,-2.1,2.1,4.6,4.4,-0.9,2.9,5.3,3.3
10420,"Akron, OH (Metropolitan Statistical Area)",4.4,3.6,1.9,2.5,-1.2,1.9,-0.4,-6.3,2.4,0.2,0.9,2.3,2.4,0.9,0.4,2.0,1.3,1.6,-3.6,4.4,-0.1,1.1
10500,"Albany, GA (Metropolitan Statistical Area)",1.0,0.5,1.1,1.8,-2.5,-2.2,-1.9,-1.0,-2.9,2.3,1.0,0.2,-1.9,-0.5,1.7,-0.6,0.2,2.4,-1.6,4.9,1.6,1.0
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",5.9,-3.6,7.7,2.3,6.3,-6.4,-2.2,-1.5,-0.9,1.0,1.1,1.8,3.1,4.9,6.0,-1.5,6.6,2.7,-2.2,1.8,2.8,1.7
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1.4,3.3,2.0,0.5,1.1,0.4,1.6,1.9,0.9,0.8,0.3,1.7,1.6,2.9,2.5,2.6,0.2,4.4,-1.8,8.0,0.1,2.5
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1.9,9.8,15.8,-1.0,1.8,-0.8,-1.5,3.6,-1.1,-2.0,-1.5,-1.7,2.0,1.2,1.7,0.4,1.9,2.9,-1.3,5.4,3.9,2.4
10780,"Alexandria, LA (Metropolitan Statistical Area)",3.7,1.3,4.8,6.3,0.2,-4.1,0.2,3.1,2.1,0.5,0.4,-0.3,0.1,-2.3,2.0,-0.5,1.3,0.0,-2.6,2.7,-2.3,1.1
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",-0.2,-8.2,-7.3,0.6,-1.6,4.7,1.3,-3.2,2.9,0.7,0.9,1.1,1.6,2.1,2.7,1.2,0.5,4.0,-4.1,3.7,2.1,3.7
11020,"Altoona, PA (Metropolitan Statistical Area)",-0.4,2.7,4.0,2.2,1.6,-1.1,0.1,-0.1,2.0,-0.3,-1.1,1.5,0.6,1.7,1.6,0.9,1.6,2.3,-2.9,3.7,-0.2,1.4
