TOWN,COUNTY,income_pc,median_household_income,population
ABINGTON,PLYMOUTH,45174,113155,16974
ACTON,MIDDLESEX,81270,169335,23899
ACUSHNET,BRISTOL,39457,78362,10520
ADAMS,BERKSHIRE,34017,49691,8161
AGAWAM,HAMPDEN,42754,78619,28715
AMESBURY,ESSEX,48390,87433,17286
AMHERST,HAMPSHIRE,26341,61127,39416
ANDOVER,ESSEX,83300,193279,36323
ARLINGTON,MIDDLESEX,69007,125701,46045
ASHBURNHAM,WORCESTER,43610,104074,6315
ASHBY,MIDDLESEX,47086,95536,3189
ASHFIELD,FRANKLIN,46327,72944,1710
ASHLAND,MIDDLESEX,59092,115959,18646
ATHOL,WORCESTER,28626,58275,11922
ATTLEBORO,BRISTOL,38942,81627,46146
AUBURN,WORCESTER,62772,101402,6595
AVON,NORFOLK,41432,127953,4740
AYER,MIDDLESEX,51578,101688,8396
BARNSTABLE,BARNSTABLE,46996,82816,48556
BARRE,WORCESTER,38041,92206,5531
BECKET,BERKSHIRE,42134,60833,2152
BEDFORD,MIDDLESEX,52025,109841,15793
BELCHERTOWN,HAMPSHIRE,43421,101109,15228
BELLINGHAM,NORFOLK,44845,109042,16934
BELMONT,MIDDLESEX,81383,151502,27056
BERKLEY,BRISTOL,43686,110518,6724
BERLIN,WORCESTER,55248,106908,3326
BERNARDSTON,FRANKLIN,35461,70750,2081
BEVERLY,ESSEX,46645,91592,42448
BILLERICA,MIDDLESEX,36846,67292,42119
BLACKSTONE,WORCESTER,43891,89129,9188
BLANDFORD,HAMPDEN,42569,79263,1066
BOLTON,WORCESTER,66748,167132,5606
BOSTON,SUFFOLK,50344,81744,672814
BOURNE,BARNSTABLE,47950,82119,20364
BOXBOROUGH,MIDDLESEX,75401,129132,5461
BOXFORD,ESSEX,83766,187813,8188
BOYLSTON,WORCESTER,46340,70864,4810
BRAINTREE,NORFOLK,37342,64305,38712
BREWSTER,BARNSTABLE,50551,88110,10282
BRIDGEWATER,PLYMOUTH,41188,107757,28337
BRIMFIELD,HAMPDEN,50533,89882,3448
BROCKTON,PLYMOUTH,30508,68067,104216
BROOKFIELD,WORCESTER,39401,75329,3435
BROOKLINE,NORFOLK,83318,122356,62620
BUCKLAND,FRANKLIN,32279,66681,2083
BURLINGTON,MIDDLESEX,53430,123630,23311
CAMBRIDGE,MIDDLESEX,65494,112565,116892
CANTON,NORFOLK,66512,83992,24122
CARLISLE,MIDDLESEX,91493,216000,5215
CARVER,PLYMOUTH,38784,77119,11641
CHARLEMONT,FRANKLIN,34358,51797,1062
CHARLTON,WORCESTER,42561,106558,13312
CHATHAM,BARNSTABLE,65443,88750,6554
CHELMSFORD,MIDDLESEX,60517,145552,36392
CHELSEA,SUFFOLK,27627,64782,40025
CHESHIRE,BERKSHIRE,38249,69069,3243
CHESTER,HAMPDEN,31462,76283,1400
CHESTERFIELD,HAMPSHIRE,40202,80156,1087
CHICOPEE,HAMPDEN,31086,56509,55636
CLARKSBURG,BERKSHIRE,45087,105313,1750
CLINTON,WORCESTER,40857,84938,15221
COHASSET,NORFOLK,94437,156689,8295
COLRAIN,FRANKLIN,34785,63750,1693
CONCORD,MIDDLESEX,87603,70000,18424
CONWAY,FRANKLIN,52711,97956,3395
CUMMINGTON,HAMPSHIRE,35900,76300,975
DALTON,BERKSHIRE,44825,72664,6356
DANVERS,ESSEX,49862,105654,27966
